Protein	Name	Phylum	Type
14_0903_02_20cm_scaffold_382_2	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_3	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_4	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_5	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_6	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_7	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_8	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_9	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_10	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_11	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_12	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_13	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_14	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_382_15	Betaproteobacteria_NRPS_0	Betaproteobacteria	NRPS
14_0903_02_20cm_scaffold_29_52	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_29_53	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_29_54	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_29_55	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_29_56	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_29_57	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_29_58	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_3	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_4	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_5	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_6	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_7	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_8	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_20cm_scaffold_107_9	Gammaproteobacteria_Bacteriocin_0	Gammaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_51972_1	Alphaproteobacteria_Type I PKS_0	Alphaproteobacteria	Type I PKS
14_0903_02_30cm_scaffold_51972_2	Alphaproteobacteria_Type I PKS_0	Alphaproteobacteria	Type I PKS
14_0903_02_30cm_scaffold_51972_3	Alphaproteobacteria_Type I PKS_0	Alphaproteobacteria	Type I PKS
14_0903_02_30cm_scaffold_51972_4	Alphaproteobacteria_Type I PKS_0	Alphaproteobacteria	Type I PKS
14_0903_02_30cm_scaffold_17376_1	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_17376_2	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_17376_3	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_17376_4	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_17376_5	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_17376_6	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_17376_7	Alphaproteobacteria_Type III PKS_0	Alphaproteobacteria	Type III PKS
14_0903_02_30cm_scaffold_155654_1	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_2	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_3	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_4	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_5	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_6	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_7	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_8	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_155654_9	Alphaproteobacteria_Bacteriocin_0	Alphaproteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_1	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_2	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_3	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_4	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_5	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_6	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_7	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_8	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_9	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_10	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_11	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_12	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_11031_13	Proteobacteria_Bacteriocin_0	Proteobacteria	Bacteriocin
14_0903_02_30cm_scaffold_6_263	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_264	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_265	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_266	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_267	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_268	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_269	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_270	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_271	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_272	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_273	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_274	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_275	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_276	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_277	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_278	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_279	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_280	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_281	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_6_282	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_136	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_137	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_138	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_139	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_140	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_141	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_142	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_143	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_144	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_145	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_146	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_147	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_148	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_12_149	Acidobacteria_Lantipeptide_0	Acidobacteria	Lantipeptide
14_0903_02_30cm_scaffold_40_15	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_16	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_17	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_18	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_19	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_20	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_21	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_22	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_23	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_24	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_25	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_26	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_27	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_28	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_29	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_30	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_31	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_32	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_33	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_34	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_35	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_36	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_37	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_38	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_39	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_40	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_41	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_42	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_43	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_44	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_45	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_46	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_47	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_48	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_49	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_50	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_51	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_52	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_53	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_54	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_55	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_56	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_57	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_58	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_40_59	Acidobacteria_NRPS-PKS Hybrid_0	Acidobacteria	NRPS-PKS Hybrid
14_0903_02_30cm_scaffold_42_76	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_77	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_78	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_79	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_80	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_81	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_82	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_83	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_84	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_85	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_86	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_87	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_88	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_89	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_90	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_91	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_92	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_93	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_94	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_95	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_96	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_97	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_98	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_99	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_100	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_42_101	Acidobacteria_Lassopeptide_0	Acidobacteria	Lassopeptide
14_0903_02_30cm_scaffold_108_45	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_46	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_47	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_48	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_49	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_50	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_51	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_52	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_53	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_54	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_55	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_56	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_57	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_58	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_59	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_60	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_61	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_62	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_63	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_108_64	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_23	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_24	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_25	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_26	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_27	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_28	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_29	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_30	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_31	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_32	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_33	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_34	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_35	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_36	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_37	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_38	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_39	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_40	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_41	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_42	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_43	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_44	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_45	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_356_46	Acidobacteria_Bacteriocin_0	Acidobacteria	Bacteriocin
14_0903_02_30cm_scaffold_631_9	Verrucomicrobia_Bacteriocin_0	Verrucomicrobia	Bacteriocin
14_0903_02_30cm_scaffold_631_10	Verrucomicrobia_Bacteriocin_0	Verrucomicrobia	Bacteriocin
14_0903_02_30cm_scaffold_631_11	Verrucomicrobia_Bacteriocin_0	Verrucomicrobia	Bacteriocin
14_0903_02_30cm_scaffold_631_12	Verrucomicrobia_Bacteriocin_0	Verrucomicrobia	Bacteriocin
