Protein	Genome
14_0903_09_20cm_scaffold_144_15	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_217_6	14_0929_09_20cm_Bacteria_6721_56_10
14_1009_12_30cm_scaffold_1485_13	14_1009_12_30cm_Bacteria_8516_55_13
14_0903_16_30cm_scaffold_354_22	14_0903_16_30cm_Verrucomicrobia_5531_55_9
14_1009_16_40cm_scaffold_40157_4	14_1009_16_40cm_Bacteria_10157_53_6
14_0903_13_30cm_scaffold_1500810_2	14_0903_13_30cm_Bacteria_4830_56_8
14_0903_05_20cm_scaffold_23711_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_5837_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_652_10	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_1294_13	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_46679_5	14_1009_16_40cm_Bacteria_10195_66_6
14_0903_05_20cm_scaffold_4032_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0927_12_20cm_scaffold_4103_6	14_0927_12_20cm_Alphaproteobacteria_6330_65_13
14_0903_13_20cm_scaffold_1865_22	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_05_20cm_scaffold_1294_5	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_554_27	14_1009_16_40cm_Bacteria_10153_70_20
14_0903_13_30cm_scaffold_2321172_4	14_0903_13_30cm_Bacteria_4966_70_7
14_1009_16_40cm_scaffold_40242_2	14_1009_16_40cm_Bacteria_10151_57_6
14_0903_13_20cm_scaffold_32505_8	14_0903_13_20cm_Proteobacteria_1234_70_6
14_1009_16_40cm_scaffold_40242_3	14_1009_16_40cm_Bacteria_10151_57_6
14_1009_16_40cm_scaffold_938_53	14_1009_16_40cm_Bacteria_10145_71_8
14_1009_16_40cm_scaffold_40157_2	14_1009_16_40cm_Bacteria_10157_53_6
14_0903_05_20cm_scaffold_757_16	14_0903_05_20cm_Chloroflexi_387_50_7
14_0919_09_20cm_scaffold_1449_8	14_0919_09_20cm_Actinobacteria_1656_69_7
14_0903_05_20cm_scaffold_2523_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_20cm_scaffold_1937_6	14_0903_13_20cm_Proteobacteria_1234_70_6
14_1009_16_30cm_scaffold_196_82	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_13_30cm_scaffold_4425601_7	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_13_30cm_scaffold_764725_60	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_05_20cm_scaffold_11853_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_12564_11	14_1009_16_40cm_Bacteria_10151_57_6
14_0903_05_20cm_scaffold_17164_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_562_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_02_30cm_scaffold_40_38	14_0903_02_30cm_Bacteria_162_64_22
14_1009_16_30cm_scaffold_4660_24	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_13_20cm_scaffold_32505_7	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_09_20cm_scaffold_899_4	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_8_142	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_05_20cm_scaffold_40605_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_490_35	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_12_20cm_scaffold_51328_4	14_0903_12_20cm_Bacteria_10610_64_6
14_0903_09_20cm_scaffold_859_2	14_0903_09_20cm_Bacteria_634_55_9
14_0903_12_40cm_200_scaffold_2_1	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_40cm_scaffold_38516_1	14_1009_16_40cm_Bacteria_10157_53_6
14_0903_13_30cm_scaffold_764725_61	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_40cm_scaffold_20000_1	14_1009_16_40cm_Bacteria_10157_53_6
14_0929_09_20cm_scaffold_7_62	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_13_20cm_scaffold_3670_2	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_13_30cm_scaffold_1058063_2	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_40cm_scaffold_78812_7	14_1009_16_40cm_Bacteria_10151_57_6
14_0927_12_20cm_scaffold_1331_7	14_0927_12_20cm_Bacteria_6339_54_8
14_0903_05_20cm_scaffold_17164_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_05_20cm_scaffold_203_8	14_0929_05_20cm_Acidobacteria_2978_54_10
14_0903_12_20cm_scaffold_332_18	14_0903_12_20cm_Acidobacteria_917_58_8
14_0927_12_40cm_scaffold_2560_11	14_0927_12_40cm_Deltaproteobacteria_6551_70_9
14_1009_05_30cm_scaffold_141_19	14_1009_05_30cm_Gemmatimonadetes_4196_69_20
14_1009_09_20cm_scaffold_61_21	14_1009_09_20cm_Gemmatimonadetes_7716_69_10
14_0903_13_30cm_scaffold_4292240_2	14_0903_13_30cm_Bacteria_4981_58_6
14_0903_05_20cm_scaffold_9164_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_30cm_scaffold_4911_12	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_40cm_scaffold_2497_27	14_0903_05_40cm_Alphaproteobacteria_523_63_8
14_0929_12_20cm_scaffold_7279_7	14_0929_12_20cm_Bacteria_7231_59_8
14_1009_05_30cm_scaffold_158_30	14_1009_05_30cm_Deltaproteobacteria_4183_68_9
14_0927_02_20cm_scaffold_39_28	14_0927_02_20cm_Deltaproteobacteria_1930_68_11
14_1009_16_40cm_scaffold_151724_3	14_1009_16_40cm_Verrucomicrobia_10135_59_6
14_0903_02_30cm_scaffold_25067_4	14_0903_02_30cm_Bacteria_216_54_5
14_0903_12_40cm_200_scaffold_6_35	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_7_31	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_05_30cm_scaffold_1077_1	14_0929_05_30cm_Bacteria_3252_59_8
14_0929_05_30cm_scaffold_507_25	14_0929_05_30cm_Bacteria_3252_59_8
14_1009_16_40cm_scaffold_14138_3	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_12_30cm_scaffold_5951_7	14_0903_12_30cm_Bacteria_1108_73_5
14_1009_16_40cm_scaffold_242008_1	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0919_09_20cm_scaffold_157_5	14_0919_09_20cm_Bacteria_1670_60_14
14_0903_09_20cm_scaffold_332_6	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_30cm_scaffold_4911_20	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_16_40cm_scaffold_6380_7	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_0903_05_20cm_scaffold_1244_2	14_0903_05_20cm_Micromonosporales_397_71_6
14_0903_12_30cm_scaffold_3188_10	14_0903_12_30cm_Bacteria_1108_73_5
14_0903_13_30cm_scaffold_1137608_13	14_0903_13_30cm_Bacteria_4966_70_7
14_0927_12_20cm_scaffold_2980_7	14_0927_12_20cm_Deltaproteobacteria_10562_68_13
14_0903_13_30cm_scaffold_685404_116	14_0903_13_30cm_Bacteria_4817_57_14
14_1009_09_20cm_scaffold_6044_13	14_1009_09_20cm_Acidobacteria_7739_65_6
14_1009_16_40cm_scaffold_45941_8	14_1009_16_40cm_Acidobacteria_10325_64_5
14_0903_12_30cm_scaffold_1504_2	14_0903_12_30cm_Acidobacteria_1079_57_7
14_1009_16_40cm_scaffold_31917_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0919_12_20cm_scaffold_5179_2	14_0919_12_20cm_Bacteria_1758_59_7
14_0929_09_20cm_scaffold_4_88	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_11_28	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_05_20cm_scaffold_5837_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_30cm_scaffold_1957_2	14_0903_09_30cm_Bacteria_688_55_7
14_0903_12_40cm_200_scaffold_335_7	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_12_40cm_200_scaffold_1313_16	14_0903_12_40cm_Bacteria_10609_55_11
14_0927_05_20cm_scaffold_2436_6	14_0927_05_20cm_Alphaproteobacteria_2149_63_9
14_0903_09_30cm_scaffold_20372_3	14_0903_09_30cm_Bacteria_688_55_7
14_1009_16_30cm_scaffold_1220_45	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_20cm_scaffold_757_15	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_30cm_scaffold_1214_6	14_0903_09_30cm_Bacteria_688_55_7
14_0903_09_30cm_scaffold_387_12	14_0903_09_30cm_Bacteria_688_55_7
14_0903_13_30cm_scaffold_1022820_2	14_0903_13_30cm_Gemmatimonadetes_4837_61_12
14_0903_12_40cm_200_scaffold_7_39	14_0903_12_40cm_Bacteria_10609_55_11
14_0929_09_20cm_scaffold_11_29	14_0929_09_20cm_Bacteria_6715_55_10
14_0929_09_20cm_scaffold_0_91	14_0929_09_20cm_Bacteria_6715_55_10
14_0903_09_20cm_scaffold_332_5	14_0903_09_20cm_Bacteria_634_55_9
14_1009_16_40cm_scaffold_20000_2	14_1009_16_40cm_Bacteria_10157_53_6
14_0903_13_30cm_scaffold_58791_23	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_09_20cm_scaffold_217_3	14_0903_09_20cm_Bacteria_634_55_9
14_0903_13_20cm_scaffold_348_57	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_05_20cm_scaffold_4032_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_40cm_scaffold_24583_2	14_1009_16_40cm_Acidobacteria_10131_59_8
14_0903_05_20cm_scaffold_652_12	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_12_20cm_scaffold_813_36	14_0903_12_20cm_Bacteria_913_55_8
14_1009_16_40cm_scaffold_38516_2	14_1009_16_40cm_Bacteria_10157_53_6
14_1009_16_30cm_scaffold_90_327	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0927_12_20cm_scaffold_9278_5	14_0927_12_20cm_Bacteria_6393_69_7
14_0903_13_20cm_scaffold_2412_1	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_09_20cm_scaffold_899_6	14_0903_09_20cm_Bacteria_634_55_9
14_0929_09_20cm_scaffold_8_141	14_0929_09_20cm_Bacteria_6715_55_10
14_0927_12_40cm_scaffold_20031_13	14_0927_12_40cm_Bacteria_6506_67_17
14_1009_16_30cm_scaffold_196_21	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_13_20cm_scaffold_3467_9	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_13_30cm_scaffold_2430397_5	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_30cm_scaffold_90_316	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_20cm_scaffold_70690_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_09_20cm_scaffold_0_78	14_0903_09_20cm_Proteobacteria_630_68_11
14_0903_05_20cm_scaffold_448_7	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_30cm_scaffold_90_334	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_12_40cm_200_scaffold_106_15	14_0903_12_40cm_Bacteria_10609_55_11
14_0903_13_30cm_scaffold_2474410_18	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_13_20cm_scaffold_1267_16	14_0903_13_20cm_Proteobacteria_1234_70_6
14_1009_12_20cm_scaffold_57453_2	14_1009_12_20cm_Acidobacteria_8403_56_5
14_0903_05_20cm_scaffold_21252_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_05_20cm_scaffold_22_106	14_0929_05_20cm_Acidobacteria_2978_54_10
14_1009_16_20cm_scaffold_1847_27	14_1009_16_20cm_Acidobacteria_9472_55_5
14_1009_09_20cm_scaffold_6044_10	14_1009_09_20cm_Acidobacteria_7739_65_6
14_1009_16_30cm_scaffold_196_44	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_09_20cm_scaffold_1488_6	14_0903_09_20cm_Acidobacteria_635_55_5
14_1009_16_30cm_scaffold_1220_13	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_05_20cm_scaffold_23711_1	14_0903_05_20cm_Chloroflexi_387_50_7
14_1009_16_20cm_scaffold_1083_17	14_1009_16_20cm_Bacteria_9490_55_8
14_0903_12_40cm_200_scaffold_5180_3	14_0903_12_40cm_Ktedonobacter_racemifer_4702_53_8
14_1009_13_30cm_scaffold_34347_5	14_1009_13_30cm_Bacteria_9099_55_14
14_0903_13_30cm_scaffold_1578694_18	14_0903_13_30cm_Bacteria_4803_58_14
14_1009_09_20cm_scaffold_6120_12	14_1009_09_20cm_Ktedonobacter_racemifer_7781_53_7
14_0929_09_20cm_scaffold_9508_2	14_0929_09_20cm_Ktedonobacter_racemifer_6734_54_8
14_1009_12_20cm_scaffold_3985_4	14_1009_12_20cm_Ktedonobacter_racemifer_8422_52_9
14_1009_09_30cm_scaffold_16084_2	14_1009_09_30cm_Ktedonobacter_racemifer_8023_53_6
14_0903_12_20cm_scaffold_346_11	14_0903_12_20cm_Ktedonobacter_racemifer_1020_54_11
14_0903_05_20cm_scaffold_21434_11	14_0903_05_20cm_Chloroflexi_387_50_7
14_0919_12_20cm_scaffold_2089_6	14_0919_12_20cm_Ktedonobacter_racemifer_1829_53_9
14_1009_16_40cm_scaffold_45894_4	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10403_72_7
14_0903_13_30cm_scaffold_11101917_1	14_0903_13_30cm_RBG_16_RIF_WS3X_71_46_curated_5059_69_5
14_1009_16_40cm_scaffold_5956_31	14_1009_16_40cm_RBG_16_RIF_WS3X_71_46_curated_10208_69_7
14_1009_16_40cm_scaffold_8203_22	14_1009_16_40cm_Acidobacteria_10259_65_9
14_0903_05_20cm_scaffold_2785_6	14_0903_05_20cm_Bacteria_395_69_9
14_1009_16_40cm_scaffold_314_40	14_1009_16_40cm_Bacteria_10077_69_12
14_1009_16_30cm_scaffold_196_72	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_02_40cm_scaffold_390_54	14_1009_02_40cm_Chloroflexi_3845_53_8
14_0929_05_20cm_scaffold_935_8	14_0929_05_20cm_Bacteria_2982_55_10
14_1009_12_20cm_scaffold_41777_2	14_1009_12_20cm_Ktedonobacter_racemifer_8433_52_7
14_0903_02_30cm_scaffold_14793_5	14_0903_02_30cm_Bacteria_171_59_8
14_1009_12_40cm_scaffold_14056_9	14_1009_12_40cm_Acidobacteria_8715_61_7
14_0929_09_20cm_scaffold_16_12	14_0929_09_20cm_Bacteria_6721_56_10
14_1009_12_30cm_scaffold_187_18	14_1009_12_30cm_Bacteria_8516_55_13
14_0929_05_40cm_scaffold_1532_12	14_0929_05_40cm_Bacteria_3425_55_9
14_0903_16_30cm_scaffold_570_7	14_0903_16_30cm_Verrucomicrobia_5531_55_9
14_0927_09_40cm_scaffold_3913_3	14_0927_09_40cm_Verrucomicrobia_6186_55_17
14_0903_12_30cm_scaffold_879_5	14_0903_12_30cm_Acidobacteria_1043_61_10
14_0903_12_20cm_scaffold_78244_3	14_0903_12_20cm_Bacteria_10610_64_6
14_1009_05_20cm_scaffold_3557_9	14_1009_05_20cm_Bacteria_4028_55_8
14_1009_16_40cm_scaffold_314_50	14_1009_16_40cm_Bacteria_10077_69_12
14_0903_05_30cm_scaffold_8703_8	14_0903_05_30cm_Bacteria_4617_55_7
14_0927_05_40cm_scaffold_431_48	14_0927_05_40cm_Verrucomicrobia_2334_55_12
14_0929_05_20cm_scaffold_10034_18	14_0929_05_20cm_Bacteria_2986_55_7
14_1009_13_20cm_scaffold_2185_16	14_1009_13_20cm_Bacteria_8956_55_6
14_0919_09_20cm_scaffold_4531_12	14_0919_09_20cm_Bacteria_1671_55_7
14_1009_12_20cm_scaffold_1656_8	14_1009_12_20cm_Bacteria_8430_59_8
14_0927_09_20cm_scaffold_2135_7	14_0927_09_20cm_Bacteria_6036_55_7
14_1009_09_20cm_scaffold_588_6	14_1009_09_20cm_Bacteria_7728_55_9
14_1009_13_20cm_scaffold_167_29	14_1009_13_20cm_Bacteria_8964_55_8
14_1009_12_20cm_scaffold_5740_6	14_1009_12_20cm_Bacteria_8381_55_13
14_0903_13_30cm_scaffold_11227697_5	14_0903_13_30cm_Bacteria_4871_58_6
14_1009_16_40cm_scaffold_78812_5	14_1009_16_40cm_Bacteria_10151_57_6
14_1009_02_40cm_scaffold_1432_6	14_1009_02_40cm_Chloroflexi_3845_53_8
14_0927_12_40cm_scaffold_5323_15	14_0927_12_40cm_Bacteria_6525_71_6
14_1009_13_20cm_scaffold_311_17	14_1009_13_20cm_Bacteria_8946_55_8
14_0903_12_40cm_200_scaffold_121_29	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_09_30cm_scaffold_1201_12	14_1009_09_30cm_Bacteria_7988_56_8
14_1009_12_40cm_scaffold_1810_19	14_1009_12_40cm_Bacteria_8719_56_8
14_0903_13_40cm_scaffold_9099_8	14_0903_13_40cm_Verrucomicrobia_1369_56_11
14_0929_09_30cm_scaffold_783_32	14_0929_09_30cm_Bacteria_6841_55_9
14_0903_05_20cm_scaffold_1552_4	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_16_40cm_scaffold_21662_7	14_0903_16_40cm_Rokubacteria_5695_68_10
14_0903_05_20cm_scaffold_349_17	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_20cm_scaffold_70690_4	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_20cm_scaffold_2739_9	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_13_30cm_scaffold_5818186_4	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_16_40cm_scaffold_314_25	14_1009_16_40cm_Bacteria_10077_69_12
14_1009_16_40cm_scaffold_314_22	14_1009_16_40cm_Bacteria_10077_69_12
14_0929_02_40cm_scaffold_4928_7	14_0929_02_40cm_Bacteria_2832_56_9
14_1009_09_20cm_scaffold_1497_10	14_1009_09_20cm_Bacteria_7766_55_12
14_0919_09_20cm_scaffold_698_2	14_0919_09_20cm_Bacteria_1653_55_12
14_1009_16_40cm_scaffold_9844_5	14_1009_16_40cm_Bacteria_10360_70_6
14_1009_05_20cm_scaffold_64_200	14_1009_05_20cm_Bacteria_3993_59_9
14_0903_13_30cm_scaffold_566209_29	14_0903_13_30cm_Bacteria_4982_55_14
14_1009_09_30cm_scaffold_23733_3	14_1009_09_30cm_Betaproteobacteria_7996_64_8
14_1009_16_40cm_scaffold_24305_4	14_1009_16_40cm_Bacteria_10151_57_6
14_1009_16_30cm_scaffold_196_45	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_13_20cm_scaffold_47948_3	14_1009_13_20cm_Rokubacteria_8968_70_11
14_0903_16_30cm_scaffold_5947_15	14_0903_16_30cm_Rokubacteria_5554_70_10
14_1009_13_20cm_scaffold_42307_4	14_1009_13_20cm_Acidobacteria_8926_56_6
14_0919_02_20cm_scaffold_920_24	14_0919_02_20cm_Rokubacteria_5893_69_7
14_1009_12_40cm_scaffold_19869_10	14_1009_12_40cm_Bacteria_8767_65_6
14_1009_16_20cm_scaffold_4765_1	14_1009_16_20cm_Rokubacteria_9470_69_6
14_1009_16_40cm_scaffold_6562_14	14_1009_16_40cm_Bacteria_10153_70_20
14_1009_16_40cm_scaffold_6562_10	14_1009_16_40cm_Bacteria_10153_70_20
14_1009_16_40cm_scaffold_9076_6	14_1009_16_40cm_Bacteria_10145_71_8
14_1009_02_40cm_scaffold_1432_7	14_1009_02_40cm_Chloroflexi_3845_53_8
14_0903_12_30cm_scaffold_12708_3	14_0903_12_30cm_Betaproteobacteria_1076_65_10
14_0929_12_40cm_scaffold_2013_11	14_0929_12_40cm_Betaproteobacteria_7526_65_14
14_0919_02_20cm_scaffold_23_74	14_0919_02_20cm_Betaproteobacteria_5881_65_14
14_0903_05_20cm_scaffold_1552_3	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_13_30cm_scaffold_2192662_26	14_0903_13_30cm_Bacteria_4832_68_9
14_1009_16_30cm_scaffold_12971_2	14_1009_16_30cm_Bacteria_9687_70_5
14_1009_16_40cm_scaffold_9076_10	14_1009_16_40cm_Bacteria_10145_71_8
14_0903_05_40cm_scaffold_1452_50	14_0903_05_40cm_Rokubacteria_474_69_10
14_0903_02_30cm_scaffold_5801_3	14_0903_02_30cm_Betaproteobacteria_208_64_9
14_0927_02_40cm_scaffold_7003_5	14_0927_02_40cm_Betaproteobacteria_2090_64_10
14_1009_16_40cm_scaffold_314_21	14_1009_16_40cm_Bacteria_10077_69_12
14_0929_02_30cm_scaffold_31_139	14_0929_02_30cm_Bacteria_2615_69_23
14_1009_16_30cm_scaffold_6496_11	14_1009_16_30cm_Bacteria_9612_66_46
14_0929_12_40cm_scaffold_695_9	14_0929_12_40cm_Rokubacteria_7612_70_13
14_1009_16_40cm_scaffold_292_131	14_1009_16_40cm_Bacteria_10176_71_10
14_0903_12_30cm_scaffold_6942_4	14_0903_12_30cm_Acidobacteria_1043_61_10
14_1009_16_30cm_scaffold_12971_6	14_1009_16_30cm_Bacteria_9687_70_5
14_1009_16_30cm_scaffold_1220_14	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_09_40cm_scaffold_529_16	14_1009_09_40cm_Bacteria_8194_68_8
14_1009_13_30cm_scaffold_3668_7	14_1009_13_30cm_Bacteria_9093_69_12
14_0929_05_40cm_scaffold_14881_9	14_0929_05_40cm_Bacteria_3435_70_7
14_0903_12_30cm_scaffold_32619_2	14_0903_12_30cm_Betaproteobacteria_1059_67_7
14_0927_09_20cm_scaffold_17658_5	14_0927_09_20cm_Betaproteobacteria_6059_67_8
